"","Database","study_id","site_id","core_id","Habitat_type","Year_collected","Latitude","Longitude","U_depth_m","L_depth_m","OC_perc","N_perc","BD_reported_g_cm3","DOI"
"122","Weston","Weston et al 2023","Massachussettes","15 (LM)","Salt marsh",2014,NA,NA,0,0.01,17.96797943,1.43921113,0.111954655,"https://doi.org/10.1038/s41558-018-0162-5"
"123","Weston","Weston et al 2023","Massachussettes","15 (LM)","Salt marsh",2014,NA,NA,0.01,0.02,13.25216675,0.963560641,0.171220039,"https://doi.org/10.1038/s41558-018-0162-5"
"124","Weston","Weston et al 2023","Massachussettes","15 (LM)","Salt marsh",2014,NA,NA,0.02,0.03,13.75180149,0.992861092,0.187158074,"https://doi.org/10.1038/s41558-018-0162-5"
"125","Weston","Weston et al 2023","Massachussettes","15 (LM)","Salt marsh",2014,NA,NA,0.03,0.04,15.777421,1.029465675,0.18426025,"https://doi.org/10.1038/s41558-018-0162-5"
"126","Weston","Weston et al 2023","Massachussettes","15 (LM)","Salt marsh",2014,NA,NA,0.04,0.05,14.82689381,0.938363016,0.199650377,"https://doi.org/10.1038/s41558-018-0162-5"
"127","Weston","Weston et al 2023","Massachussettes","15 (LM)","Salt marsh",2014,NA,NA,0.09,0.1,14.55207157,0.809519947,0.197671821,"https://doi.org/10.1038/s41558-018-0162-5"
"128","Weston","Weston et al 2023","Massachussettes","15 (LM)","Salt marsh",2014,NA,NA,0.14,0.15,10.77849483,0.724682033,0.201447516,"https://doi.org/10.1038/s41558-018-0162-5"
"129","Weston","Weston et al 2023","Massachussettes","15 (LM)","Salt marsh",2014,NA,NA,0.19,0.2,13.01663017,0.786399782,0.188833455,"https://doi.org/10.1038/s41558-018-0162-5"
"130","Weston","Weston et al 2023","Massachussettes","15 (LM)","Salt marsh",2014,NA,NA,0.24,0.25,9.881800652,0.657665133,0.209667354,"https://doi.org/10.1038/s41558-018-0162-5"
"131","Weston","Weston et al 2023","Massachussettes","15 (LM)","Salt marsh",2014,NA,NA,0.29,0.3,9.467218399,0.681242645,0.177419923,"https://doi.org/10.1038/s41558-018-0162-5"
"132","Weston","Weston et al 2023","Massachussettes","15 (LM)","Salt marsh",2014,NA,NA,0.34,0.35,9.527902603,0.595711589,0.278300747,"https://doi.org/10.1038/s41558-018-0162-5"
"133","Weston","Weston et al 2023","Massachussettes","15 (LM)","Salt marsh",2014,NA,NA,0.39,0.4,9.761367798,0.610389829,0.252542983,"https://doi.org/10.1038/s41558-018-0162-5"
"134","Weston","Weston et al 2023","Massachussettes","15 (LM)","Salt marsh",2014,NA,NA,0.44,0.45,9.343340874,0.582528174,0.230500034,"https://doi.org/10.1038/s41558-018-0162-5"
"135","Weston","Weston et al 2023","Massachussettes","15 (LM)","Salt marsh",2014,NA,NA,0.49,0.5,9.797767639,0.576882482,0.190194702,"https://doi.org/10.1038/s41558-018-0162-5"
"136","Weston","Weston et al 2023","Massachussettes","15 (LM)","Salt marsh",2014,NA,NA,0.54,0.56,7.798611164,0.521168172,0.227885295,"https://doi.org/10.1038/s41558-018-0162-5"
"137","Weston","Weston et al 2023","Massachussettes","15 (LM)","Salt marsh",2014,NA,NA,0.6,0.62,8.539773941,0.56461972,0.247231927,"https://doi.org/10.1038/s41558-018-0162-5"
"138","Weston","Weston et al 2023","Massachussettes","15 (LM)","Salt marsh",2014,NA,NA,0.66,0.68,8.468483925,0.499688983,0.234774325,"https://doi.org/10.1038/s41558-018-0162-5"
"139","Weston","Weston et al 2023","Massachussettes","15 (LM)","Salt marsh",2014,NA,NA,0.72,0.74,8.011541367,0.535254717,0.215158001,"https://doi.org/10.1038/s41558-018-0162-5"
"140","Weston","Weston et al 2023","Massachussettes","15 (LM)","Salt marsh",2014,NA,NA,0.78,0.8,5.047222614,0.322582155,0.427167965,"https://doi.org/10.1038/s41558-018-0162-5"
